proj,ver,class,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
ant,1.6,org.apache.tools.ant.AntClassLoader,49,2,1,24,126,926,18,8,31,0.883333333,1512,0.7,1,0.441558442,0.163461538,1,5,29.44897959,12,1.9796,10
ant,1.6,org.apache.tools.ant.util.FileUtils,37,1,0,51,146,654,46,8,33,0.941358025,2046,0.777777778,0,0,0.283333333,0,0,54.05405405,29,2.8108,8
ant,1.6,org.apache.tools.ant.taskdefs.Zip,38,4,1,31,169,453,3,28,22,0.869565217,2236,1,2,0.684210526,0.144144144,0,0,57.23684211,5,1.2632,6
ant,1.6,org.apache.tools.ant.taskdefs.Javadoc,85,3,0,35,227,2766,7,35,78,0.944444444,2412,0.96969697,10,0.308333333,0.136904762,3,3,26.98823529,13,1.6706,6
ant,1.6,org.apache.tools.ant.Project,100,1,0,202,247,4576,193,23,87,0.979500891,2015,0.588235294,4,0,0.090869565,0,0,18.81,7,1.4,5
ant,1.6,org.apache.tools.ant.taskdefs.Copy,31,3,2,20,97,307,3,17,24,0.884126984,1137,1,2,0.552238806,0.209677419,2,2,35,18,1.871,4
ant,1.6,org.apache.tools.ant.UnknownElement,28,3,0,26,89,246,17,14,16,0.771604938,817,1,0,0.578125,0.241071429,1,5,27.96428571,16,2.4286,4
ant,1.6,org.apache.tools.ant.types.CommandlineJava,35,1,0,12,79,333,2,11,31,0.751633987,487,1,6,0,0.167857143,0,0,12.65714286,7,1.7143,3
ant,1.6,org.apache.tools.ant.types.ZipFileSet,19,5,0,14,45,25,4,10,16,0.488888889,458,0.8,0,0.85046729,0.298245614,4,15,22.57894737,4,1.8421,3
ant,1.6,org.apache.tools.ant.IntrospectionHelper,33,1,0,29,100,420,19,25,22,0.902777778,1585,0.333333333,0,0,0.28125,0,0,46.21212121,17,2.1818,3
ant,1.6,org.apache.tools.tar.TarInputStream,16,3,0,3,41,84,1,2,16,0.674074074,559,1,2,0.580645161,0.25,2,8,33.375,1,0.8125,3
