name,version,name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
ant,1.7,org.apache.tools.ant.Project,120,1,0,365,288,6692,352,30,103,0.97547127,2384,0.594594595,5,0,0.090084034,0,0,18.55833333,6,1.4167,10
ant,1.7,org.apache.tools.ant.taskdefs.Zip,49,4,1,31,210,844,1,30,28,0.877403846,2937,1,2,0.624,0.127314815,0,0,58.40816327,13,1.449,8
ant,1.7,org.apache.tools.ant.taskdefs.SQLExec,26,4,0,12,109,233,1,12,20,0.892,881,1,1,0.709302326,0.157051282,2,2,32.11538462,4,1.0769,8
ant,1.7,org.apache.tools.zip.ZipFile,17,1,0,13,73,82,8,6,10,0.8203125,598,1,0,0,0.183823529,0,0,33.70588235,3,0.9412,7
ant,1.7,org.apache.tools.ant.AntClassLoader,56,2,2,51,169,1200,37,16,35,0.848863636,1842,0.875,2,0.409638554,0.155844156,1,5,31.60714286,14,2.1964,6
ant,1.7,org.apache.tools.bzip2.CBZip2OutputStream,41,2,0,6,60,402,3,3,8,0.889166667,4541,0.933333333,2,0.11627907,0.191666667,1,1,109.0243902,47,5.5854,6
ant,1.7,org.apache.tools.ant.taskdefs.optional.junit.JUnitTestRunner,39,1,0,25,150,625,8,21,24,0.878718535,1561,0.913043478,1,0,0.111111111,0,0,38.43589744,27,2.2308,6
ant,1.7,org.apache.tools.ant.taskdefs.Jar,31,5,2,24,152,349,2,22,13,0.857407407,1413,1,8,0.811688312,0.115789474,4,16,44,7,1.4839,6
ant,1.7,org.apache.tools.ant.taskdefs.Copy,45,3,2,25,157,744,4,22,27,0.902097902,1828,0.846153846,2,0.4625,0.13986014,1,1,39.04444444,19,2.2444,5
ant,1.7,org.apache.tools.ant.taskdefs.Delete,46,4,0,39,135,17,2,37,40,0.883760684,1100,1,3,0.639344262,0.074666667,3,5,22.63043478,16,1.6739,5
ant,1.7,org.apache.tools.ant.taskdefs.optional.junit.JUnitTask,63,3,0,36,267,1715,4,35,36,0.922939068,2328,0.861111111,9,0.37755102,0.091642229,2,4,35.38095238,21,2.0794,5
ant,1.7,org.apache.tools.ant.taskdefs.optional.unix.Symlink,23,4,0,13,96,181,0,13,16,0.715909091,856,1,1,0.655737705,0.227272727,0,0,35.86956522,5,1.2609,5
ant,1.7,org.apache.tools.ant.taskdefs.optional.ssh.SSHExec,9,4,0,11,54,10,1,11,7,0.803571429,345,1,0,0.870967742,0.314814815,1,1,36.55555556,1,0.8889,4
ant,1.7,org.apache.tools.ant.taskdefs.optional.ssh.Scp,24,4,0,14,85,180,0,14,13,0.782608696,741,1,0,0.710526316,0.326086957,2,2,29.54166667,7,1.625,4
ant,1.7,org.apache.tools.ant.taskdefs.email.MimeMailer,5,2,0,7,69,8,1,7,2,1,379,1,0,0.857142857,0.416666667,0,0,74.4,12,3.2,4
ant,1.7,org.apache.tools.ant.util.FileUtils,58,1,0,142,158,1627,134,12,56,0.949874687,1752,0.642857143,1,0,0.160233918,0,0,28.96551724,17,2.6379,4
ant,1.7,org.apache.tools.ant.taskdefs.Concat,29,3,0,25,109,268,1,25,20,0.851190476,879,1,6,0.578125,0.125,1,1,28.68965517,29,3,4
ant,1.7,org.apache.tools.ant.launch.Locator,11,1,0,8,75,53,7,1,9,0.825,968,0.5,0,0,0.183333333,0,0,86.27272727,17,3.1818,4
ant,1.7,org.apache.tools.ant.IntrospectionHelper,35,1,0,32,120,417,20,28,24,0.927893738,2098,0.387096774,0,0,0.290441176,0,0,58.05714286,19,2.5143,4
ant,1.7,org.apache.tools.ant.taskdefs.Expand,16,3,1,18,80,86,1,17,11,0.878787879,631,0.909090909,3,0.725490196,0.188888889,2,2,37.75,4,1.1875,4
ant,1.7,org.apache.tools.ant.util.CollectionUtils,7,1,0,5,19,21,2,3,7,2,105,0,0,0,0.2,1,1,14,8,2.4286,4
ant,1.7,org.apache.tools.ant.taskdefs.email.EmailTask,32,3,2,16,97,362,2,14,32,0.941935484,941,0.76,3,0.544117647,0.201388889,3,3,27.625,45,2.625,4
